id,smiles,mw,hbd,hba,rot_bonds,net_charge,ring_count,fsp3,tpsa,aromatic_rings,total_stereo,undefined_stereo,logp,rank,context,target_name,effector_name,reference_ligand_count,centroid_score
m_279130____28079002____28139440____28196052,CCC(Cc1ccccc1)NC(=O)Cc1cccc(-c2cn(C3CCOC3=O)nn2)c1,418.5,1.0,6.0,8.0,0,4,0.333,86.11,3,2,1,3.11,2223,ALPHA_SYNC_CRBN,Alpha-synuclein,CRBN,4347,0.5284100770950317
m_279130____28114696____28139562____28194460,CCN(C(=O)c1cc(F)cc(-c2cn(C3CCCNC3=O)nn2)c1)C(C)CO,389.43,2.0,6.0,6.0,0,3,0.474,100.35,2,2,1,1.38,2224,ALPHA_SYNC_CRBN,Alpha-synuclein,CRBN,4347,0.5283754467964172
m_279130____28120750____28595574____28195706,O=C1CC(NC(=O)C2(Cc3cn(CC4CCCN4)nn3)CCC2)c2ccccc21,393.49,2.0,6.0,6.0,0,5,0.545,88.91,2,2,1,2.19,2225,ALPHA_SYNC_CRBN,Alpha-synuclein,CRBN,4347,0.5283579230308533
m_274552____19647284____24999084____15986286,CCc1ccoc1C(=O)NC(C)C(=O)NC1CCOC1=O,294.31,2.0,5.0,5.0,0,2,0.5,97.64,1,2,0,0.39,2226,ALPHA_SYNC_CRBN,Alpha-synuclein,CRBN,4347,0.5283178687095642
s_1458____10336414____27714904,CN(C)c1cc(C(=O)OC2CCCN(C3CC3)C2=O)nc2ccccc12,353.42,0.0,5.0,4.0,0,4,0.45,62.74,2,1,1,2.61,2227,ALPHA_SYNC_CRBN,Alpha-synuclein,CRBN,4347,0.5282979607582092
s_2708____16726502____29308942,COC(=O)c1ccc2ncn(C3CN(C(=O)NC4CCN(C5CCN(C)CC5)C4=O)C3)c2c1,454.53,1.0,7.0,4.0,0,5,0.565,100.01,2,1,1,1.08,2228,ALPHA_SYNC_CRBN,Alpha-synuclein,CRBN,4347,0.5282855033874512
m_274552____23519642____24967270____15985244,CN1CCCCC(NC(=O)CCN(CCO)C(=O)C2CCSCC2)C1=O,385.53,2.0,5.0,7.0,0,2,0.833,89.95,0,1,0,0.47,2229,ALPHA_SYNC_CRBN,Alpha-synuclein,CRBN,4347,0.5282682776451111
m_277130____15462936____15470574____14751406,COc1cccc(C(C)(C)CN2CCC(=O)N(CC(C)Oc3ccccc3C)C2=O)c1,424.54,0.0,4.0,8.0,0,3,0.44,59.08,2,1,1,4.4,2230,ALPHA_SYNC_CRBN,Alpha-synuclein,CRBN,4347,0.528266191482544
s_11____25831710____22025146,CN1CCC(N2CCC(NC(=O)c3cc4n(c(=O)c3)CCS4)C2=O)CC1,376.48,1.0,6.0,3.0,0,4,0.611,74.65,1,1,1,0.38,2231,ALPHA_SYNC_CRBN,Alpha-synuclein,CRBN,4347,0.5282373428344727
s_240690____17034166____19725504,CC(N)C(=O)NCC(=O)Nc1cnn(C(C)c2ccccc2)c1,315.38,3.0,5.0,6.0,0,2,0.312,102.04,2,2,1,0.89,2232,ALPHA_SYNC_CRBN,Alpha-synuclein,CRBN,4347,0.5282306671142578
m_280190____28056482____19331270____19345816,Cc1cc(-c2cn(C3CCN(C)C3=O)nn2)ccc1C(=O)NC(C)CCCC(=O)O,413.48,2.0,6.0,8.0,0,3,0.476,117.42,2,2,1,2.03,2233,ALPHA_SYNC_CRBN,Alpha-synuclein,CRBN,4347,0.5282116532325745
s_276436____14078580____14091218,CCc1cccc(N2CC(C(=O)OC3CCN(c4nncc5ccccc45)CC3)CC2=O)c1,444.54,0.0,6.0,5.0,0,5,0.385,75.63,3,1,1,3.76,2234,ALPHA_SYNC_CRBN,Alpha-synuclein,CRBN,4347,0.5282105803489685
m_274552____23414964____13185330____15984104,CN1CC(NC(=O)C(NC(=O)C2CC2c2ccccc2)C2CCCCC2)CC1=O,397.52,2.0,3.0,6.0,0,4,0.609,78.51,1,4,1,2.2,2235,ALPHA_SYNC_CRBN,Alpha-synuclein,CRBN,4347,0.5282089710235596
m_274552____23521902____24966252____25023682,CC1OCCN(C(=O)CC2(CNC(=O)CNc3cccnc3)CC2)C1CO,376.46,3.0,6.0,8.0,0,3,0.632,103.79,1,2,0,0.39,2236,ALPHA_SYNC_CRBN,Alpha-synuclein,CRBN,4347,0.5281767249107361
